emoji,count,tokens,mult
left pointing magnifying glass,14991,leftxpointingxmagnifyingxglass,
keyboard,14980,keyboard,
department store,14959,departmentxstore,
high speed train,14867,highxspeedxtrain,
moon cake,14847,moonxcake,
hotel,14806,hotel,
scarf,14784,scarf,
black medium small square,14721,blackxmediumxsmallxsquare,
left speech bubble,14711,leftxspeechxbubble,
mosquito,14684,mosquito,
ferry,14607,ferry,
deaf person,14582,deafxperson,
family man man boy,14539,familyxmanxmanxboy,
amphora,14321,amphora,
scorpius,14313,scorpius,
flag for iran,14264,flagxforxiran,
clockwise rightwards and leftwards open circle arrows,14262,clockwisexrightwardsxandxleftwardsxopenxcirclexarrows,
aquarius,14252,aquarius,
satellite,14178,satellite,
flag for peru,14085,flagxforxperu,
leo,14064,leo,
envelope,14055,envelope,
satellite antenna,13878,satellitexantenna,
mahjong tile red dragon,13686,mahjongxtilexredxdragon,
frame with picture,13681,framexwithxpicture,
shopping trolley,13487,shoppingxtrolley,
flag for serbia,13365,flagxforxserbia,
lower left ballpoint pen,13346,lowerxleftxballpointxpen,
family man man girl,13341,familyxmanxmanxgirl,
flag for andorra,13292,flagxforxandorra,
flag for congo kinshasa,13265,flagxforxcongoxkinshasa,
right pointing magnifying glass,13239,rightxpointingxmagnifyingxglass,
star of david,13220,starxofxdavid,
bellhop bell,13192,bellhopxbell,
otter,13184,otter,
construction sign,13142,constructionxsign,
bagel,12999,bagel,
flag for venezuela,12996,flagxforxvenezuela,
couch and lamp,12965,couchxandxlamp,
three button mouse,12898,threexbuttonxmouse,
flag for finland,12873,flagxforxfinland,
aries,12867,aries,
flag for pakistan,12837,flagxforxpakistan,
socks,12801,socks,
green book,12790,greenxbook,
microbe,12699,microbe,
railway track,12681,railwayxtrack,
flag for lebanon,12533,flagxforxlebanon,
womens symbol,12531,womensxsymbol,
tear off calendar,12522,tearxoffxcalendar,
radio button,12515,radioxbutton,
heavy division sign,12504,heavyxdivisionxsign,
flag for egypt,12494,flagxforxegypt,
sloth,12456,sloth,
flag for bosnia herzegovina,12418,flagxforxbosniaxherzegovina,
family man man girl girl,12377,familyxmanxmanxgirlxgirl,
blue book,12359,bluexbook,
family man boy,12313,familyxmanxboy,
softball,12257,softball,
white square button,12245,whitexsquarexbutton,
canoe,12238,canoe,
newspaper,12234,newspaper,
funeral urn,12231,funeralxurn,
ledger,12195,ledger,
flag for kuwait,12157,flagxforxkuwait,
eight spoked asterisk,12139,eightxspokedxasterisk,
squared free,12138,squaredxfree,
mountain railway,12053,mountainxrailway,
white medium square,11893,whitexmediumxsquare,
number sign,11883,numberxsign,
postbox,11819,postbox,
flamingo,11806,flamingo,
flower playing cards,11787,flowerxplayingxcards,
flag for antarctica,11765,flagxforxantarctica,
high speed train with bullet nose,11760,highxspeedxtrainxwithxbulletxnose,
timer clock,11748,timerxclock,
down pointing small red triangle,11734,downxpointingxsmallxredxtriangle,
flag for qatar,11691,flagxforxqatar,
open mailbox with raised flag,11687,openxmailboxxwithxraisedxflag,
coat,11671,coat,
bell with cancellation stroke,11642,bellxwithxcancellationxstroke,
speaker with one sound wave,11628,speakerxwithxonexsoundxwave,
dna double helix,11620,dnaxdoublexhelix,
telescope,11522,telescope,
no smoking symbol,11477,noxsmokingxsymbol,
speaker,11323,speaker,
flag for costa rica,11321,flagxforxcostaxrica,
star and crescent,11307,starxandxcrescent,
flag for angola,11273,flagxforxangola,
flag for antigua barbuda,11273,flagxforxantiguaxbarbuda,
ticket,11244,ticket,
microscope,11232,microscope,
flag for anguilla,11223,flagxforxanguilla,
family woman girl girl,11077,familyxwomanxgirlxgirl,
tram,11054,tram,
squared id,11037,squaredxid,
ice cube,11029,icexcube,
flag for liberia,10970,flagxforxliberia,
gemini,10970,gemini,
drop of blood,10961,dropxofxblood,
inbox tray,10911,inboxxtray,
black right pointing double triangle,10904,blackxrightxpointingxdoublextriangle,
lower left fountain pen,10886,lowerxleftxfountainxpen,
rolled up newspaper,10863,rolledxupxnewspaper,
flag for wales,10824,flagxforxwales,
flag for vietnam,10799,flagxforxvietnam,
potable water symbol,10783,potablexwaterxsymbol,
monorail,10685,monorail,
